Aérographe
Dégauchisseuse
Démonte roue-libre
Démonte-obus
Départoir
Dérive-chaîne
Dévisse-cassette
Diable
Diamant
Disqueuse
Dolabra
Doloire
Doucine
wikt:Douille
Drille
Échafaudage
Échelle
Échenilloir
Écouvillon
Écran à peinture
Écrou
Égoïne
Élagueuse
Élastique
Élingue
Emporte-pièce
Enclume
Encolleuse
Engrenage
Éponge
Épuisette
Équerre
Équerre à coulisse
Équerre de maçon
Équerre de mécanicien
Équerre de menuisier
Escabeau
Escargot
Établi
Étau
Excentrique
Extracteur
Extracteur de goujon
Faucille
Faux
Fendeuse de bûche
Fer à souder
Fermoir
Fiche
Fil à plomb
Filet
Filière
Filière
Filière à têtes interchangeables
Fontaine de dégraissage
Foret
Fouet à chaîne
Fourche
Fourche bêche
Fraise
Furet
Fusil
Gaule
Gaufroir
Genouillère
Gouge
Gouge à asperges
Gouge de bottier
Goujon
Goupillon
Gradine
Gradine à point d'orge
Grain d'orge
Grattoir
Grattoir à déjointer
Greffoir
Grelinette
Griffe à cintrer
Griffe de jardin
Griffe de zingueur
Guillaume
Guimbarde
Hache
Hachette
Hachette de plâtrier
Herminette
Herse
Houe
Incinérateur de jardin
Inclinomètre
Instrument de mesure
Jauge d'épaisseur
Lame
Lame abrasive
Lame à enduire
Lamelleuse
Laminoir
Laminoir à fils
Laminoir à plaques
Lampe à souder
Levier
Lime
Lingotière à bascule
Lisseuse
Machette
Machine à coudre
Machine à crépir
Machine à plâtre
Maillet
Maillet de carreleur
Maillet de menuisier
Maillet de ferblantier
Maillet en caoutchouc
Maillet polyvalent
Mandrin
Marteau
Marteau américain
Marteau arrache clou
Marteau bourgeois
Marteau compo-cast
Marteau de bottier
Marteau d'électricien
Marteau de charpentier
Marteau de coffreur
Marteau de menuisier
Marteau-piqueur
Marteau de serrurier
Marteau de soudeur
Marteau de vitrier
Marteau rivoir
Ramponneau
Martelet
Masse
Massette
Massette
Foret
Merlin
Mètre
Mètre ruban
Mètre pliant
Meule
Meuleuse
Meuleuse à disque diamant
Micromètre
Perceuse
Québec
Monture de scie à métaux avec lame
Motoculteur
Moule
Multimètre
Niveau à bulle
Niveau à eau
Niveau d'angle
Niveau laser
Niveau optique
Ohmmètre
Outils divers de bottier
Ouvre-boîte
Ordinateur
Palette de manutention
Palan
Micromètre
Paroir
Pelle
Perceuse
Perceuse à colonne
Perforateur
Perche
Perche d'électricien
Pied à coulisse
Pied-de-biche
Roche
Pierre à gréser
Pierre à aiguiser
Pierre à raser
Pince
Pince à avoyer
Pince à becs
Pince à cintrer
Pince à dénuder
Pince à tubes
Pince brucelle
Pince à circlips
Pince à long bec
Pince coupante
Pince coupe-boulon
Pince coupe-câble
Pince crocodile
Pince de bottier-cordonnier
Pince de carreleur
Pince de pose
Pince dérive-chaîne
Pince-étau
Pince gouge
Pince-monseigneur
Pince multiprise
Pince Perdrielle
Pince perroquet
Pince universelle
Pinceau
Pioche
Piolet
Pistolet
Pistolet à colle chaude
Pistolet arroseur
Pistolet à peinture
Plane de charron
Plantoir
Platoir
Platoir flamand
Platoir à jointer
Pochoir
Poinçon
Pointe
Pointe à tracer
Pointeau
Pointerolle
Polissoir
Polka
Pompe
Ponceuse
Ponceuse à bande
Ponceuse excentrique
Ponceuse orbitale
Ponceuse vibrante
Poste à souder
Poste à souder à l'arc
Presse mécanique
Presse-flan
Pressoir
Punaise
Queue de rat
Quart de pouce
Raclette
Raclette de carreleur
Rabot
Rabot-guillaume
Doucine
Doucine
Rabot à recaler
Rabot à surfacer
Racloir
Ramponneau
Râpe
Rapporteur
Rapporteur d'angle
Raquette de carreleur
Rasoir
Râteau
Règle
Règle à calcul
Réglet
Réglet toupilleur
Ressort à cintrer
Rifloir
Riveteuse
Rondelle
Rouanne
Rouet
Roule
Rouleau à bras
Sarcloir
Sauterelle
Bistouri
Scarificateur
Sceau
Scie
Scie à archet
Scie à béton cellulaire
Scie à archet
Scie à chantourner
Scie à dos
Scie à guichet
Scie à métaux
Scie à onglet
Scie à panneaux
Scie à queue d'aronde
Scie à ruban
Scie circulaire
Scie-cloche
Scie d'élagage
Scie de long
Égoïne
Scie passe-partout
Scie sauteuse
Scie vilebrequin
Sciotte
Sécateur
Semence
Semoir
Semoir à bras
Semoir à main
Serfouette
Serpe
Serpette
Serre-fils
Serre-joint
Smille
Soufflet
Souffleuse à neige
Spatule
Spudger
Taille-haie
Taillant
Tamis
Calibre à limites
Tamponnoir
Taraud
Taraudage
Tarière
Tas
Té
Tenaille
Tendeur à feuillard
Tête d'alésage
Têtu
Têtu de maçon
Théodolite
Tirfor
Tondeuse à gazon
Tourne-à-gauche
Tournevis
Tournevis coudé
Tournevis de précision
Tournevis testeur
Tournevis gainé
Tournevis empreinte fendue
Tournevis empreinte cruciforme
Tournevis empreinte étoile
Tranchet
Transplantoir
Trépied
Tronçonneuse
Truelle
Truelle à brique
Truelle à joint
Truelle d'angle
Truelle Berthelet
Truelle langue de chat
Truelle triangulaire
Trusquin
Tyrolienne
Urinette
Valet
Varlope
Vé
Vilebrequin
Vis d'Archimède
Vis de fixation
Visseuse
Vrille
Wastringue
Xylographe
